"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: en","Country: de / Role: NoAuth","2","0","6","50","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: de / Role: NoReg","2","7","15","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: NoReg","0","0","21","7","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: de / Role: NoAuth","7","0","3","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: de / Role: NoAuth","0","5","0","2","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: de / Role: NoReg","0","0","6","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: de / Role: NoAuth","3","1","3","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: de / Role: NoAuth","13","0","6","8","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: Auth","7","0","15","6","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: NoAuth","7","1","7","10","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: Auth","2","1","13","9","0"
"US_00 | Main Page","Language: en","Country: de / Role: Auth","7","0","1","50","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: de / Role: Auth","1","1","5","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: de / Role: Auth","10","8","7","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: de / Role: NoAuth","2","1","3","1","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: de / Role: Auth","1","1","7","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: de / Role: Auth","0","0","4","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: de / Role: NoReg","0","5","0","2","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: NoReg","0","1","14","10","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: de / Role: NoAuth","1","7","15","2","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: de / Role: NoAuth","12","0","6","9","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: de / Role: Auth","7","0","12","8","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: Auth","2","0","11","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: de / Role: NoReg","0","0","19","8","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: de / Role: NoAuth","2","0","2","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: de / Role: NoReg","0","0","18","9","0"
"US_00 | Main Page","Language: en","Country: de / Role: NoReg","0","0","8","50","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: NoAuth","12","0","6","5","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: de / Role: NoAuth","2","4","19","2","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: de / Role: Auth","3","0","4","2","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: en","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: NoReg","0","0","18","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: NoReg","0","0","12","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: en","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: de / Role: Auth","0","5","0","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: de / Role: NoAuth","5","1","3","0","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: NoReg","3","7","8","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: de / Role: Auth","14","4","9","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: de / Role: NoReg","5","0","5","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: NoAuth","14","0","6","8","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: de / Role: NoAuth","7","0","0","0","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: Auth","7","7","5","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: de / Role: NoAuth","2","0","2","1","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: de / Role: NoAuth","9","0","5","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: de / Role: NoReg","2","4","20","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: NoAuth","4","4","9","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: de / Role: Auth","7","0","13","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: de / Role: Auth","4","1","10","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: Auth","7","0","12","4","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: NoAuth","6","0","6","3","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: de / Role: Auth","8","0","3","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: en","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: de / Role: Auth","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: de / Role: Auth","0","1","6","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: de / Role: NoReg","0","1","6","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: de / Role: NoReg","0","0","4","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: en","Country: de / Role: NoReg","0","0","0","1","0"
