"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.05 | Markets > Menu item [Commodities]","Language: fr","Country: de / Role: NoReg","18","6","4","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: fr","Country: de / Role: Auth","0","0","0","5","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: de / Role: Auth","0","0","0","7","0"
"US_01.03 | Markets > Menu item [Forex]","Language: fr","Country: de / Role: NoAuth","10","8","9","2","0"
"US_00 | Main Page","Language: fr","Country: de / Role: NoReg","10","0","1","49","0"
"US_01.02 | Markets > Menu item [Shares]","Language: fr","Country: de / Role: NoAuth","8","5","10","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: de / Role: NoAuth","21","0","4","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: fr","Country: de / Role: Auth","11","5","13","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: fr","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: de / Role: NoReg","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: fr","Country: de / Role: NoAuth","11","6","10","2","0"
"US_00 | Main Page","Language: fr","Country: de / Role: Auth","7","0","4","49","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: fr","Country: de / Role: NoAuth","0","0","0","7","0"
"US_00 | Main Page","Language: fr","Country: de / Role: NoAuth","3","0","8","49","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: de / Role: NoAuth","0","0","0","4","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: fr","Country: de / Role: NoAuth","0","0","0","6","0"
"US_01.04 | Markets > Menu item [Indices]","Language: fr","Country: de / Role: Auth","1","7","3","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: de / Role: NoReg","5","0","2","11","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: fr","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: fr","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.00 | Learn to trade","Language: fr","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: fr","Country: de / Role: NoReg","4","0","0","5","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: fr","Country: de / Role: NoAuth","3","0","2","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: fr","Country: de / Role: NoReg","0","0","0","3","0"
"US_01.03 | Markets > Menu item [Forex]","Language: fr","Country: de / Role: NoReg","16","8","4","1","0"
"US_01.03 | Markets > Menu item [Forex]","Language: fr","Country: de / Role: Auth","8","8","13","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: de / Role: NoAuth","5","0","1","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: de / Role: NoAuth","6","0","1","11","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: de / Role: Auth","0","0","0","4","0"
