"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: hu","Country: de / Role: Auth","8","0","3","49","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: hu","Country: de / Role: NoReg","5","0","23","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: hu","Country: de / Role: Auth","1","0","4","4","0"
"US_00 | Main Page","Language: hu","Country: de / Role: NoAuth","1","0","10","49","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: hu","Country: de / Role: Auth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","9","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: hu","Country: de / Role: NoReg","0","0","0","5","0"
"US_00 | Main Page","Language: hu","Country: de / Role: NoReg","0","0","11","49","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: hu","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: hu","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: hu","Country: de / Role: Auth","0","0","0","5","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: hu","Country: de / Role: Auth","16","0","13","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: hu","Country: de / Role: NoReg","0","0","4","5","0"
"US_01.04 | Markets > Menu item [Indices]","Language: hu","Country: de / Role: NoAuth","4","0","6","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: hu","Country: de / Role: Auth","0","0","0","7","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: hu","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: hu","Country: de / Role: NoAuth","0","0","0","7","0"
"US_01.03 | Markets > Menu item [Forex]","Language: hu","Country: de / Role: Auth","14","2","13","0","0"
"US_01.02 | Markets > Menu item [Shares]","Language: hu","Country: de / Role: NoReg","5","0","19","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: hu","Country: de / Role: Auth","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: hu","Country: de / Role: NoAuth","0","0","0","6","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: hu","Country: de / Role: NoReg","0","0","1","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: hu","Country: de / Role: NoAuth","11","0","16","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: hu","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: hu","Country: de / Role: NoAuth","0","0","0","5","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: hu","Country: de / Role: NoAuth","10","0","17","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: hu","Country: de / Role: NoAuth","12","0","11","2","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: hu","Country: de / Role: Auth","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: hu","Country: de / Role: NoReg","0","0","0","7","0"
