"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: Auth","16","0","11","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: de / Role: NoReg","7","0","21","1","0"
"US_00 | Main Page","Language: en","Country: de / Role: NoReg","0","0","10","50","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: Auth","3","1","12","9","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: NoAuth","7","1","7","10","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: de / Role: NoAuth","13","0","6","8","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: de / Role: NoAuth","10","0","17","2","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: de / Role: Auth","16","0","13","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: de / Role: NoReg","3","0","13","1","0"
"US_00 | Main Page","Language: en","Country: de / Role: Auth","8","0","2","50","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: de / Role: NoReg","7","0","0","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: de / Role: NoAuth","11","0","5","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: de / Role: Auth","0","5","0","2","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: en","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: NoReg","0","0","12","3","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: de / Role: NoReg","0","0","19","8","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: NoAuth","10","0","15","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: de / Role: Auth","4","0","12","11","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: de / Role: NoAuth","4","1","2","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: de / Role: NoReg","4","0","24","1","0"
"US_00 | Main Page","Language: en","Country: de / Role: NoAuth","1","0","9","50","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: de / Role: NoReg","0","0","4","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: de / Role: NoReg","0","0","4","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: NoAuth","8","0","6","9","0"
"US_11.00.00 | Learn to trade","Language: en","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: NoReg","0","0","16","12","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: de / Role: NoAuth","5","1","3","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: de / Role: Auth","0","1","6","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: de / Role: NoReg","0","0","15","12","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: en","Country: de / Role: NoAuth","1","0","2","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: NoAuth","9","0","6","13","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: de / Role: NoReg","0","1","14","10","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: de / Role: NoAuth","9","0","6","12","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: de / Role: NoAuth","7","0","20","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: de / Role: Auth","16","0","13","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: Auth","3","0","10","2","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: de / Role: NoAuth","7","0","0","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: de / Role: NoAuth","10","0","17","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: de / Role: NoReg","3","1","3","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: Auth","5","0","10","8","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: de / Role: NoAuth","0","5","0","2","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: de / Role: Auth","5","0","12","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: de / Role: NoAuth","6","0","6","3","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: de / Role: NoAuth","2","0","4","3","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: de / Role: Auth","16","0","13","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: en","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: de / Role: Auth","5","0","12","11","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: en","Country: de / Role: Auth","0","0","1","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: de / Role: Auth","1","1","7","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: de / Role: Auth","0","0","0","3","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: de / Role: NoReg","0","0","14","9","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: de / Role: Auth","0","0","0","5","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: en","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: en","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: de / Role: NoReg","0","1","6","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: en","Country: de / Role: Auth","0","0","4","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: de / Role: NoReg","3","0","25","1","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: de / Role: Auth","7","0","13","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: de / Role: NoAuth","2","1","3","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: en","Country: de / Role: Auth","0","0","0","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: de / Role: NoReg","6","0","20","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: en","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: de / Role: NoReg","0","5","0","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: de / Role: NoReg","0","1","6","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: de / Role: NoReg","0","1","8","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: de / Role: Auth","1","0","3","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: de / Role: NoReg","0","0","6","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: en","Country: de / Role: Auth","0","0","4","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: en","Country: de / Role: NoAuth","0","0","3","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: en","Country: de / Role: Auth","0","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: de / Role: Auth","3","0","4","2","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: de / Role: NoAuth","2","1","3","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: en","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: de / Role: NoAuth","2","0","2","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: de / Role: Auth","0","1","6","0","0"
