"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.02 | Markets > Menu item [Shares]","Language: zh","Country: ae / Role: Auth","9","9","11","0","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: zh","Country: ae / Role: Auth","11","7","11","0","0"
"US_00 | Main Page","Language: zh","Country: ae / Role: NoReg","0","4","7","49","0"
"US_01.03 | Markets > Menu item [Forex]","Language: zh","Country: ae / Role: Auth","9","9","11","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: zh","Country: ae / Role: NoAuth","0","13","15","1","0"
"US_00 | Main Page","Language: zh","Country: ae / Role: Auth","9","2","0","49","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: zh","Country: ae / Role: NoAuth","0","0","0","9","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: zh","Country: ae / Role: Auth","2","1","2","2","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: zh","Country: ae / Role: Auth","2","3","9","1","0"
"US_00 | Main Page","Language: zh","Country: ae / Role: NoAuth","0","1","10","49","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: zh","Country: ae / Role: NoAuth","1","13","7","6","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: zh","Country: ae / Role: NoReg","0","0","20","7","0"
"US_01.02 | Markets > Menu item [Shares]","Language: zh","Country: ae / Role: NoAuth","0","13","15","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: zh","Country: ae / Role: NoReg","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: zh","Country: ae / Role: NoReg","2","5","21","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: zh","Country: ae / Role: NoReg","1","0","35","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: zh","Country: ae / Role: NoReg","0","0","13","15","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: zh","Country: ae / Role: NoAuth","1","29","7","6","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: zh","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: zh","Country: ae / Role: NoReg","0","0","0","5","0"
"US_01.04 | Markets > Menu item [Indices]","Language: zh","Country: ae / Role: NoAuth","0","13","15","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: zh","Country: ae / Role: Auth","4","2","15","6","0"
"US_01.02 | Markets > Menu item [Shares]","Language: zh","Country: ae / Role: NoReg","0","5","23","1","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: zh","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: zh","Country: ae / Role: NoReg","0","0","13","2","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: zh","Country: ae / Role: Auth","4","19","14","6","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: zh","Country: ae / Role: NoReg","0","0","0","6","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: zh","Country: ae / Role: Auth","5","3","6","14","0"
