"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.05 | Markets > Menu item [Commodities]","Language: ru","Country: de / Role: NoAuth","9","0","18","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ru","Country: de / Role: Auth","16","0","13","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ru","Country: de / Role: NoReg","0","0","4","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ru","Country: de / Role: NoReg","0","0","24","3","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ru","Country: de / Role: NoReg","0","0","19","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ru","Country: de / Role: NoAuth","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ru","Country: de / Role: Auth","16","0","13","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ru","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ru","Country: de / Role: NoReg","1","0","30","12","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ru","Country: de / Role: NoAuth","0","0","0","9","0"
"US_01.04 | Markets > Menu item [Indices]","Language: ru","Country: de / Role: NoAuth","9","0","18","2","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ru","Country: de / Role: NoAuth","5","0","0","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: ru","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ru","Country: de / Role: Auth","3","0","10","2","0"
"US_00 | Main Page","Language: ru","Country: de / Role: NoAuth","2","0","10","50","0"
"US_01.04 | Markets > Menu item [Indices]","Language: ru","Country: de / Role: NoReg","2","0","26","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ru","Country: de / Role: Auth","4","0","15","6","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ru","Country: de / Role: NoAuth","8","1","19","2","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ru","Country: de / Role: NoReg","5","0","0","2","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ru","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ru","Country: de / Role: NoAuth","25","0","6","12","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ru","Country: de / Role: NoAuth","0","0","3","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ru","Country: de / Role: NoReg","5","0","23","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ru","Country: de / Role: Auth","3","0","3","1","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ru","Country: de / Role: Auth","0","0","0","9","0"
"US_01.04 | Markets > Menu item [Indices]","Language: ru","Country: de / Role: Auth","16","0","13","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ru","Country: de / Role: NoAuth","6","0","6","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ru","Country: de / Role: Auth","7","0","15","6","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ru","Country: de / Role: NoAuth","10","0","8","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ru","Country: de / Role: NoReg","0","0","6","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ru","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ru","Country: de / Role: Auth","0","0","0","3","0"
"US_00 | Main Page","Language: ru","Country: de / Role: Auth","8","0","4","50","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ru","Country: de / Role: NoReg","2","0","22","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ru","Country: de / Role: Auth","5","0","0","2","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ru","Country: de / Role: NoAuth","15","0","6","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ru","Country: de / Role: NoReg","0","0","0","5","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ru","Country: de / Role: NoReg","4","1","24","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ru","Country: de / Role: NoReg","0","0","12","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ru","Country: de / Role: NoReg","0","0","21","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ru","Country: de / Role: Auth","16","0","16","11","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ru","Country: de / Role: Auth","10","0","15","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ru","Country: de / Role: NoAuth","11","0","16","2","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ru","Country: de / Role: NoAuth","18","0","6","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ru","Country: de / Role: Auth","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ru","Country: de / Role: NoAuth","0","0","0","6","0"
"US_00 | Main Page","Language: ru","Country: de / Role: NoReg","1","0","11","50","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ru","Country: de / Role: Auth","8","0","12","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ru","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ru","Country: de / Role: NoAuth","18","0","6","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ru","Country: de / Role: NoAuth","2","0","2","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: ru","Country: de / Role: Auth","0","0","0","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ru","Country: de / Role: Auth","0","0","0","6","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: ru","Country: de / Role: NoReg","0","0","0","9","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ru","Country: de / Role: Auth","0","0","4","0","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ru","Country: de / Role: NoReg","2","0","26","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: ru","Country: de / Role: NoReg","0","0","1","0","0"
