"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.04 | Markets > Menu item [Indices]","Language: cn","Country: de / Role: NoAuth","8","0","19","2","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: cn","Country: de / Role: NoReg","0","0","5","13","0"
"US_01.01 | Markets > Menu item [All markets]","Language: cn","Country: de / Role: Auth","27","9","12","0","0"
"US_00 | Main Page","Language: cn","Country: de / Role: NoReg","0","0","12","51","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: cn","Country: de / Role: NoReg","5","0","23","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: cn","Country: de / Role: Auth","1","0","3","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: cn","Country: de / Role: Auth","0","0","0","5","0"
"US_00 | Main Page","Language: cn","Country: de / Role: NoAuth","3","0","9","51","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: cn","Country: de / Role: Auth","5","0","0","2","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: cn","Country: de / Role: Auth","1","0","3","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: cn","Country: de / Role: Auth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: cn","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: cn","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: cn","Country: de / Role: NoReg","5","0","0","2","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: cn","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: cn","Country: de / Role: NoAuth","2","0","2","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: cn","Country: de / Role: NoReg","0","0","4","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: cn","Country: de / Role: Auth","16","0","13","0","0"
"US_00 | Main Page","Language: cn","Country: de / Role: Auth","7","0","5","51","0"
"US_01.04 | Markets > Menu item [Indices]","Language: cn","Country: de / Role: Auth","16","0","13","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: cn","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: cn","Country: de / Role: NoReg","0","0","4","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: cn","Country: de / Role: Auth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: cn","Country: de / Role: Auth","1","0","5","12","0"
"US_01.04 | Markets > Menu item [Indices]","Language: cn","Country: de / Role: NoReg","5","0","23","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: cn","Country: de / Role: NoAuth","9","0","18","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: cn","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: cn","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: cn","Country: de / Role: NoReg","0","0","4","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: cn","Country: de / Role: NoReg","0","0","0","3","0"
"US_01.01 | Markets > Menu item [All markets]","Language: cn","Country: de / Role: NoReg","7","8","32","1","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: cn","Country: de / Role: Auth","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: cn","Country: de / Role: Auth","0","0","0","7","0"
"US_01.03 | Markets > Menu item [Forex]","Language: cn","Country: de / Role: Auth","16","0","14","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: cn","Country: de / Role: Auth","0","0","4","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: cn","Country: de / Role: NoAuth","7","0","20","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: cn","Country: de / Role: NoAuth","2","0","2","3","0"
"US_01.03 | Markets > Menu item [Forex]","Language: cn","Country: de / Role: NoReg","3","0","26","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: cn","Country: de / Role: NoReg","0","0","0","1","0"
