"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: ae / Role: NoAuth","7","0","21","2","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: ae / Role: NoReg","1","0","14","10","0"
"US_00 | Main Page","Language: en","Country: ae / Role: Auth","7","0","5","52","0"
"US_01.01 | Markets > Menu item [All markets]","Language: en","Country: ae / Role: Auth","56","0","12","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: ae / Role: Auth","16","0","14","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: ae / Role: NoReg","0","0","21","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: ae / Role: Auth","7","0","13","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_01.01 | Markets > Menu item [All markets]","Language: en","Country: ae / Role: NoAuth","51","1","14","2","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: ae / Role: Auth","2","0","11","2","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: ae / Role: NoReg","0","0","12","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: ae / Role: Auth","7","0","15","6","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: ae / Role: NoReg","0","0","19","8","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: ae / Role: NoAuth","7","0","0","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: ae / Role: Auth","5","0","11","27","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: ae / Role: NoAuth","8","0","8","9","0"
"US_00 | Main Page","Language: en","Country: ae / Role: NoAuth","3","0","9","52","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: ae / Role: NoAuth","10","0","6","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: ae / Role: NoAuth","4","0","3","0","0"
"US_00 | Main Page","Language: en","Country: ae / Role: NoReg","0","0","12","52","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: en","Country: ae / Role: NoAuth","15","0","6","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: ae / Role: NoReg","1","0","8","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: ae / Role: NoReg","0","0","6","3","0"
"US_01.01 | Markets > Menu item [All markets]","Language: en","Country: ae / Role: NoReg","15","1","51","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: ae / Role: NoAuth","4","0","3","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: ae / Role: NoReg","0","0","4","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: ae / Role: NoReg","1","0","6","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: ae / Role: NoReg","0","0","16","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: ae / Role: NoReg","1","0","27","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: ae / Role: NoReg","0","0","19","8","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: ae / Role: NoAuth","9","0","18","2","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: ae / Role: Auth","1","0","6","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: ae / Role: NoAuth","2","0","4","3","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: ae / Role: Auth","16","0","13","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: en","Country: ae / Role: NoReg","3","0","26","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: ae / Role: Auth","7","0","13","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: ae / Role: NoReg","0","0","18","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: ae / Role: NoAuth","12","0","6","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: ae / Role: NoAuth","9","0","6","28","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: ae / Role: NoAuth","8","0","19","2","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: ae / Role: NoReg","7","0","0","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: en","Country: ae / Role: Auth","4","0","4","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: ae / Role: NoReg","4","0","24","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: ae / Role: NoAuth","2","0","2","0","0"
"US_11.00.00 | Learn to trade","Language: en","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: en","Country: ae / Role: NoReg","0","0","15","28","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: en","Country: ae / Role: NoAuth","13","0","6","8","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: ae / Role: Auth","16","0","13","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: en","Country: ae / Role: NoReg","2","0","26","1","0"
"US_01.07 | Markets > Menu item [ESG]","Language: en","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: en","Country: ae / Role: Auth","0","0","0","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: en","Country: ae / Role: NoAuth","9","0","18","2","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: en","Country: ae / Role: NoAuth","6","0","6","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: ae / Role: NoAuth","6","0","3","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: ae / Role: Auth","2","0","5","0","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: en","Country: ae / Role: Auth","16","0","13","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: en","Country: ae / Role: NoAuth","0","0","3","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: en","Country: ae / Role: NoReg","0","0","3","1","0"
"US_01.07 | Markets > Menu item [ESG]","Language: en","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: en","Country: ae / Role: NoReg","1","0","6","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: en","Country: ae / Role: Auth","7","0","12","4","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: ae / Role: NoReg","0","0","4","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: en","Country: ae / Role: NoAuth","13","0","6","8","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: en","Country: ae / Role: Auth","1","0","6","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: ae / Role: NoReg","1","0","6","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: en","Country: ae / Role: Auth","2","0","15","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: ae / Role: Auth","0","0","4","1","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: en","Country: ae / Role: Auth","1","0","8","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: en","Country: ae / Role: Auth","4","1","11","9","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: en","Country: ae / Role: NoAuth","4","0","3","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: en","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: en","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: en","Country: ae / Role: Auth","0","0","4","2","0"
"US_01.07 | Markets > Menu item [ESG]","Language: en","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.00.00 | Learn to trade","Language: en","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: en","Country: ae / Role: NoAuth","2","0","2","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: en","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: en","Country: ae / Role: NoAuth","2","0","2","2","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: en","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: en","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: en","Country: ae / Role: Auth","7","0","0","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: en","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: en","Country: ae / Role: Auth","1","0","3","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: en","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: en","Country: ae / Role: Auth","0","0","4","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: en","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: en","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: en","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: en","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: en","Country: ae / Role: NoReg","0","0","4","2","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: en","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: en","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: en","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: en","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: en","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: en","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: en","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: en","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: en","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: en","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: en","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: en","Country: ae / Role: NoAuth","0","0","0","1","0"
