"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: fr","Country: ae / Role: NoReg","0","0","0","9","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: fr","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: fr","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: fr","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: fr","Country: ae / Role: NoAuth","4","0","1","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: fr","Country: ae / Role: NoReg","0","0","0","6","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: fr","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: fr","Country: ae / Role: NoReg","0","0","5","7","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: ae / Role: NoAuth","23","6","5","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: fr","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: fr","Country: ae / Role: Auth","2","0","7","8","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: ae / Role: Auth","12","3","13","2","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: fr","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: ae / Role: NoReg","2","3","28","4","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: fr","Country: ae / Role: Auth","0","0","0","9","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: ae / Role: Auth","3","0","3","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: fr","Country: ae / Role: NoReg","0","0","10","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: fr","Country: ae / Role: Auth","5","0","12","3","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: fr","Country: ae / Role: Auth","1","0","5","6","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: fr","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: fr","Country: ae / Role: NoAuth","3","0","1","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: ae / Role: NoAuth","0","0","0","4","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: fr","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: fr","Country: ae / Role: Auth","3","0","2","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: fr","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: fr","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: fr","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: fr","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: fr","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: fr","Country: ae / Role: NoAuth","0","0","0","9","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: fr","Country: ae / Role: Auth","1","0","3","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: fr","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: fr","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: fr","Country: ae / Role: NoAuth","12","0","4","4","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: fr","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: fr","Country: ae / Role: NoReg","3","0","2","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: fr","Country: ae / Role: NoAuth","2","0","6","9","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: fr","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: fr","Country: ae / Role: NoAuth","0","0","5","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: ae / Role: Auth","0","0","0","4","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: ae / Role: NoReg","1","0","5","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: fr","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: fr","Country: ae / Role: NoReg","3","0","13","4","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: fr","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: fr","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: fr","Country: ae / Role: NoReg","1","0","3","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: fr","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: fr","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: fr","Country: ae / Role: NoAuth","0","0","0","6","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: fr","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: fr","Country: ae / Role: Auth","0","0","0","6","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: fr","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: ae / Role: NoAuth","5","0","1","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: fr","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: ae / Role: NoReg","0","0","0","4","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: fr","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: fr","Country: ae / Role: NoAuth","0","0","1","0","0"
