"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: es","Country: au / Role: Auth","5","0","8","54","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: au / Role: NoAuth","2","0","3","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: au / Role: NoReg","1","0","10","4","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: au / Role: NoReg","0","0","3","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: au / Role: NoAuth","11","0","4","3","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: au / Role: NoReg","5","0","0","2","0"
"US_00 | Main Page","Language: es","Country: au / Role: NoReg","1","0","12","54","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: au / Role: NoReg","0","0","8","2","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: au / Role: NoAuth","5","0","0","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: au / Role: Auth","5","0","12","0","0"
"US_01.02 | Markets > Menu item [Shares]","Language: es","Country: au / Role: NoAuth","5","0","14","2","0"
"US_01.01 | Markets > Menu item [All markets]","Language: es","Country: au / Role: NoReg","10","0","14","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: es","Country: au / Role: NoAuth","0","0","0","1","0"
"US_01.03 | Markets > Menu item [Forex]","Language: es","Country: au / Role: NoReg","5","0","17","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: es","Country: au / Role: Auth","13","0","9","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: es","Country: au / Role: Auth","13","0","10","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: au / Role: Auth","4","0","13","8","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: au / Role: Auth","0","0","3","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: au / Role: NoAuth","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: au / Role: Auth","0","0","0","7","0"
"US_00 | Main Page","Language: es","Country: au / Role: NoAuth","7","0","6","54","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: au / Role: Auth","0","0","0","9","0"
"US_01.02 | Markets > Menu item [Shares]","Language: es","Country: au / Role: NoReg","2","0","18","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: au / Role: NoAuth","2","0","2","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: au / Role: Auth","4","0","12","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: au / Role: Auth","4","0","7","4","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: au / Role: Auth","6","0","11","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: au / Role: Auth","0","0","5","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: au / Role: NoAuth","0","0","3","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: es","Country: au / Role: NoAuth","5","0","15","2","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: es","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: au / Role: NoAuth","12","0","4","1","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: es","Country: au / Role: NoReg","0","0","16","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: au / Role: Auth","0","0","0","3","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: au / Role: NoAuth","6","0","4","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: au / Role: Auth","2","0","7","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: au / Role: NoReg","1","0","15","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: es","Country: au / Role: NoAuth","12","0","4","1","0"
"US_01.01 | Markets > Menu item [All markets]","Language: es","Country: au / Role: NoAuth","13","3","7","2","0"
"US_01.04 | Markets > Menu item [Indices]","Language: es","Country: au / Role: NoAuth","5","0","13","2","0"
"US_01.04 | Markets > Menu item [Indices]","Language: es","Country: au / Role: Auth","12","0","8","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: au / Role: NoAuth","12","0","4","9","0"
"US_01.02 | Markets > Menu item [Shares]","Language: es","Country: au / Role: Auth","13","0","8","0","0"
"US_01.01 | Markets > Menu item [All markets]","Language: es","Country: au / Role: Auth","15","3","7","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: au / Role: Auth","3","0","9","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: es","Country: au / Role: NoAuth","4","0","4","2","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: es","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: es","Country: au / Role: NoReg","0","0","16","9","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: es","Country: au / Role: Auth","1","0","3","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: au / Role: Auth","0","0","0","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: es","Country: au / Role: NoAuth","6","0","5","4","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: au / Role: Auth","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: au / Role: Auth","0","0","0","7","0"
"US_01.04 | Markets > Menu item [Indices]","Language: es","Country: au / Role: NoReg","0","0","19","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: au / Role: Auth","0","0","6","0","0"
"US_01.03 | Markets > Menu item [Forex]","Language: es","Country: au / Role: NoAuth","5","0","16","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: es","Country: au / Role: NoReg","0","0","10","5","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: es","Country: au / Role: NoReg","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: es","Country: au / Role: NoReg","4","0","17","1","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: es","Country: au / Role: NoReg","0","0","5","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: es","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: au / Role: Auth","0","0","0","5","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: es","Country: au / Role: Auth","5","0","0","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: au / Role: NoAuth","3","0","3","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: au / Role: NoReg","0","0","4","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: es","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: es","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: au / Role: NoReg","0","0","0","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: es","Country: au / Role: Auth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: au / Role: Auth","1","0","3","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: es","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: es","Country: au / Role: NoReg","0","0","15","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: es","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: es","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: es","Country: au / Role: NoReg","0","0","0","3","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: au / Role: NoReg","0","0","0","2","0"
"US_11.00.00 | Learn to trade","Language: es","Country: au / Role: Auth","0","0","0","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: au / Role: NoReg","0","0","2","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: es","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: au / Role: Auth","0","0","1","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: au / Role: Auth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: es","Country: au / Role: Auth","0","0","0","1","0"
"US_11.00.00 | Learn to trade","Language: es","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: es","Country: au / Role: NoReg","0","0","6","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: es","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: es","Country: au / Role: Auth","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: es","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: au / Role: NoAuth","0","0","2","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: au / Role: NoReg","0","0","1","0","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: au / Role: NoAuth","0","0","0","2","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: es","Country: au / Role: NoAuth","0","0","1","0","0"
"US_01.07 | Markets > Menu item [ESG]","Language: es","Country: au / Role: Auth","0","0","0","2","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: es","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: au / Role: Auth","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: es","Country: au / Role: Auth","0","0","1","0","0"
