"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ro","Country: au / Role: NoReg","0","0","0","4","0"
"US_00 | Main Page","Language: ro","Country: au / Role: NoReg","1","0","15","58","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ro","Country: au / Role: Auth","0","0","0","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: au / Role: Auth","4","0","11","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: au / Role: NoAuth","11","0","4","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ro","Country: au / Role: NoReg","0","0","15","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_00 | Main Page","Language: ro","Country: au / Role: NoAuth","8","0","8","58","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: ro","Country: au / Role: NoReg","0","0","0","6","0"
"US_00 | Main Page","Language: ro","Country: au / Role: Auth","5","0","11","58","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ro","Country: au / Role: NoReg","7","0","17","1","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: au / Role: NoReg","0","0","15","2","0"
"US_11.00.00 | Learn to trade","Language: ro","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: ro","Country: au / Role: NoReg","0","0","0","5","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ro","Country: au / Role: Auth","13","0","10","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ro","Country: au / Role: Auth","2","0","7","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: au / Role: NoAuth","11","0","4","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ro","Country: au / Role: Auth","12","0","10","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ro","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: ro","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ro","Country: au / Role: Auth","0","0","0","3","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: ro","Country: au / Role: Auth","5","0","11","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: ro","Country: au / Role: NoReg","3","0","18","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ro","Country: au / Role: NoAuth","7","0","12","2","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: ro","Country: au / Role: NoReg","0","0","8","2","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: au / Role: NoReg","0","0","14","4","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: ro","Country: au / Role: NoAuth","10","0","4","4","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ro","Country: au / Role: NoAuth","16","0","7","2","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: ro","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ro","Country: au / Role: NoAuth","0","0","0","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: ro","Country: au / Role: Auth","13","0","8","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ro","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: ro","Country: au / Role: NoReg","0","0","0","5","0"
"US_01.04 | Markets > Menu item [Indices]","Language: ro","Country: au / Role: NoAuth","6","0","12","2","0"
"US_01.03 | Markets > Menu item [Forex]","Language: ro","Country: au / Role: NoAuth","6","0","15","2","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Language: ro","Country: au / Role: Auth","18","0","7","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: ro","Country: au / Role: Auth","0","0","0","7","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: ro","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: ro","Country: au / Role: NoReg","0","0","0","3","0"
