"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: NoReg","Country: de","3","0","0","9","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: NoAuth","Country: de","12","0","0","0","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: NoReg","Country: au","0","0","0","12","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: Auth","Country: de","12","0","0","0","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: NoReg","Country: ae","0","0","0","12","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: NoAuth","Country: ae","12","0","0","0","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: Auth","Country: au","12","0","0","0","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: NoAuth","Country: au","12","0","0","0","0"
"TC_55!012 | Testing button [Try now] on the block 'Why choose Capital.com?'","Role: Auth","Country: ae","12","0","0","0","0"
"","","","0","0","0","2","0"
"TC_55!005 | The 'My Account' menu is not displayed when click on the [My Account] button in the Header","Role: Auth","Country: gb","1","0","0","0","0"
