"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: pl","Country: ae / Role: NoAuth","8","0","8","58","0"
"US_11.00.00 | Learn to trade","Language: pl","Country: ae / Role: Auth","0","0","0","3","0"
"US_01.01 | Markets > Menu item [All markets]","Language: pl","Country: ae / Role: Auth","6","2","9","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: pl","Country: ae / Role: NoReg","0","0","16","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: pl","Country: ae / Role: NoReg","0","0","0","6","0"
"US_00 | Main Page","Language: pl","Country: ae / Role: NoReg","1","0","15","58","0"
"US_00 | Main Page","Language: pl","Country: ae / Role: Auth","5","0","11","58","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: pl","Country: ae / Role: Auth","5","1","9","2","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: pl","Country: ae / Role: NoReg","0","0","0","7","0"
"US_01.02 | Markets > Menu item [Shares]","Language: pl","Country: ae / Role: NoReg","3","0","18","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: pl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: pl","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: pl","Country: ae / Role: NoReg","0","0","9","1","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: pl","Country: ae / Role: NoAuth","0","0","0","9","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: pl","Country: ae / Role: Auth","5","1","9","2","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: pl","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: pl","Country: ae / Role: NoReg","0","0","0","7","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: pl","Country: ae / Role: Auth","4","0","1","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: pl","Country: ae / Role: NoReg","0","0","0","6","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: pl","Country: ae / Role: NoReg","4","0","18","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: pl","Country: ae / Role: Auth","2","0","6","2","0"
"US_01.04 | Markets > Menu item [Indices]","Language: pl","Country: ae / Role: Auth","12","0","7","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: pl","Country: ae / Role: NoAuth","10","0","4","4","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: pl","Country: ae / Role: NoAuth","2","0","3","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: pl","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: pl","Country: ae / Role: NoReg","0","0","0","3","0"
"US_01.04 | Markets > Menu item [Indices]","Language: pl","Country: ae / Role: NoReg","4","0","16","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: pl","Country: ae / Role: NoReg","0","0","0","7","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: pl","Country: ae / Role: NoAuth","0","0","0","6","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: pl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: pl","Country: ae / Role: NoAuth","0","0","0","6","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: pl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: pl","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: pl","Country: ae / Role: NoReg","0","0","16","1","0"
"US_01.03 | Markets > Menu item [Forex]","Language: pl","Country: ae / Role: NoReg","3","1","19","0","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: pl","Country: ae / Role: Auth","13","0","8","1","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: pl","Country: ae / Role: Auth","0","0","0","5","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: pl","Country: ae / Role: NoAuth","6","0","14","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: pl","Country: ae / Role: Auth","13","0","7","1","0"
"US_01.03 | Markets > Menu item [Forex]","Language: pl","Country: ae / Role: NoAuth","7","1","13","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: pl","Country: ae / Role: Auth","0","0","0","6","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: pl","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: pl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: pl","Country: ae / Role: Auth","0","0","2","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: pl","Country: ae / Role: Auth","0","0","0","7","0"
"US_01.02 | Markets > Menu item [Shares]","Language: pl","Country: ae / Role: NoAuth","7","0","12","2","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: pl","Country: ae / Role: NoAuth","11","0","4","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: pl","Country: ae / Role: Auth","0","0","0","9","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: pl","Country: ae / Role: Auth","4","0","10","4","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: pl","Country: ae / Role: Auth","0","0","1","0","0"
