"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.04 | Markets > Menu item [Indices]","Language: fr","Country: au / Role: NoAuth","4","0","14","2","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: fr","Country: au / Role: Auth","0","0","0","6","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: fr","Country: au / Role: Auth","2","0","2","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: fr","Country: au / Role: NoReg","8","0","13","0","0"
"US_00 | Main Page","Language: fr","Country: au / Role: Auth","6","0","10","58","0"
"US_01.03 | Markets > Menu item [Forex]","Language: fr","Country: au / Role: Auth","16","0","6","1","0"
"US_01.03 | Markets > Menu item [Forex]","Language: fr","Country: au / Role: NoReg","9","0","14","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: fr","Country: au / Role: NoReg","5","0","15","0","0"
"US_00 | Main Page","Language: fr","Country: au / Role: NoReg","2","0","14","58","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: au / Role: NoReg","0","0","6","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: fr","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: fr","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: fr","Country: au / Role: NoReg","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Language: fr","Country: au / Role: NoReg","3","4","11","0","0"
"US_00 | Main Page","Language: fr","Country: au / Role: NoAuth","8","0","8","58","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: au / Role: NoAuth","11","0","4","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: fr","Country: au / Role: Auth","15","0","5","1","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: fr","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: fr","Country: au / Role: NoReg","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: fr","Country: au / Role: NoReg","6","0","16","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: fr","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: fr","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: fr","Country: au / Role: NoReg","0","0","9","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: fr","Country: au / Role: NoAuth","7","0","12","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: au / Role: NoReg","0","0","16","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: fr","Country: au / Role: Auth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: fr","Country: au / Role: Auth","4","0","4","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: fr","Country: au / Role: NoReg","0","0","0","5","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: fr","Country: au / Role: Auth","16","0","5","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: fr","Country: au / Role: NoAuth","4","0","16","2","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: fr","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: au / Role: Auth","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: au / Role: NoAuth","4","0","2","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: au / Role: NoReg","0","0","0","4","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: fr","Country: au / Role: Auth","0","0","0","3","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: fr","Country: au / Role: NoAuth","1","0","4","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: fr","Country: au / Role: Auth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: au / Role: Auth","0","0","0","4","0"
"US_01.03 | Markets > Menu item [Forex]","Language: fr","Country: au / Role: NoAuth","6","0","15","2","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: fr","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: fr","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: fr","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: fr","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: fr","Country: au / Role: Auth","0","0","1","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: fr","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: fr","Country: au / Role: Auth","0","0","0","1","0"
"US_01.04 | Markets > Menu item [Indices]","Language: fr","Country: au / Role: Auth","14","0","5","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: au / Role: NoAuth","5","1","2","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: fr","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: fr","Country: au / Role: Auth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: fr","Country: au / Role: Auth","0","0","0","9","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: fr","Country: au / Role: NoReg","0","0","3","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: fr","Country: au / Role: NoAuth","2","0","2","3","0"
"US_11.00.00 | Learn to trade","Language: fr","Country: au / Role: Auth","0","0","0","3","0"
"US_01.01 | Markets > Menu item [All markets]","Language: fr","Country: au / Role: NoAuth","4","1","11","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: fr","Country: au / Role: Auth","0","0","0","6","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: au / Role: Auth","2","2","4","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: fr","Country: au / Role: NoAuth","0","0","2","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: fr","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: fr","Country: au / Role: NoAuth","4","0","4","2","0"
"US_01.01 | Markets > Menu item [All markets]","Language: fr","Country: au / Role: Auth","7","4","6","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: fr","Country: au / Role: Auth","1","0","2","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: fr","Country: au / Role: NoReg","0","1","7","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: fr","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: fr","Country: au / Role: NoReg","0","0","4","3","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: fr","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: fr","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: fr","Country: au / Role: Auth","9","0","6","2","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: fr","Country: au / Role: Auth","0","0","0","1","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: fr","Country: au / Role: Auth","4","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: fr","Country: au / Role: NoAuth","0","0","3","3","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: fr","Country: au / Role: Auth","3","0","3","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: fr","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: fr","Country: au / Role: NoAuth","0","0","0","4","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: fr","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: fr","Country: au / Role: NoAuth","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: fr","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: fr","Country: au / Role: Auth","0","0","0","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: fr","Country: au / Role: Auth","0","0","0","5","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: fr","Country: au / Role: NoReg","1","0","4","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: fr","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.00.00 | Learn to trade","Language: fr","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: fr","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: fr","Country: au / Role: NoReg","0","0","4","2","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: fr","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: fr","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: fr","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: fr","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: fr","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: fr","Country: au / Role: Auth","0","0","0","5","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: fr","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: fr","Country: au / Role: NoReg","0","0","1","0","0"
