"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.01 | Markets > Menu item [All markets]","Language: it","Country: au / Role: Auth","7","1","9","1","0"
"US_00 | Main Page","Language: it","Country: au / Role: Auth","5","0","9","60","0"
"US_01.04 | Markets > Menu item [Indices]","Language: it","Country: au / Role: Auth","14","0","5","1","0"
"US_01.03 | Markets > Menu item [Forex]","Language: it","Country: au / Role: Auth","15","0","7","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: it","Country: au / Role: Auth","7","0","7","4","0"
"US_01.01 | Markets > Menu item [All markets]","Language: it","Country: au / Role: NoReg","3","2","13","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: it","Country: au / Role: NoReg","0","0","16","9","0"
"US_01.03 | Markets > Menu item [Forex]","Language: it","Country: au / Role: NoAuth","6","0","15","2","0"
"US_01.02 | Markets > Menu item [Shares]","Language: it","Country: au / Role: Auth","15","0","5","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: it","Country: au / Role: Auth","6","0","5","4","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: au / Role: NoReg","0","0","16","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: it","Country: au / Role: NoReg","0","0","0","7","0"
"US_00 | Main Page","Language: it","Country: au / Role: NoAuth","7","0","7","60","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: it","Country: au / Role: NoAuth","0","0","0","5","0"
"US_01.01 | Markets > Menu item [All markets]","Language: it","Country: au / Role: NoAuth","3","1","12","2","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: it","Country: au / Role: NoReg","0","0","4","2","0"
"US_00 | Main Page","Language: it","Country: au / Role: NoReg","2","0","12","60","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: it","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: it","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: it","Country: au / Role: NoReg","0","0","16","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: au / Role: NoAuth","11","0","4","2","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: it","Country: au / Role: NoAuth","4","0","4","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: it","Country: au / Role: NoAuth","0","0","0","9","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: it","Country: au / Role: Auth","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: it","Country: au / Role: NoAuth","5","0","15","2","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: it","Country: au / Role: NoAuth","0","0","0","7","0"
"US_01.03 | Markets > Menu item [Forex]","Language: it","Country: au / Role: NoReg","4","0","19","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: it","Country: au / Role: Auth","4","0","4","7","0"
"US_01.04 | Markets > Menu item [Indices]","Language: it","Country: au / Role: NoReg","4","0","16","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: it","Country: au / Role: Auth","8","0","7","2","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: it","Country: au / Role: NoAuth","10","0","4","4","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: it","Country: au / Role: NoReg","0","0","9","6","0"
"US_01.04 | Markets > Menu item [Indices]","Language: it","Country: au / Role: NoAuth","3","0","15","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: it","Country: au / Role: Auth","0","0","0","6","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: it","Country: au / Role: Auth","8","0","7","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: it","Country: au / Role: Auth","15","0","6","1","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: it","Country: au / Role: NoAuth","11","0","4","10","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Language: it","Country: au / Role: Auth","4","0","1","0","0"
"US_01.02 | Markets > Menu item [Shares]","Language: it","Country: au / Role: NoAuth","5","0","14","2","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: it","Country: au / Role: NoReg","0","0","12","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: it","Country: au / Role: NoReg","4","0","0","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: it","Country: au / Role: Auth","0","0","0","6","0"
"US_01.02 | Markets > Menu item [Shares]","Language: it","Country: au / Role: NoReg","3","0","18","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: it","Country: au / Role: Auth","0","0","0","3","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: it","Country: au / Role: NoAuth","11","0","4","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: it","Country: au / Role: NoReg","0","0","0","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: it","Country: au / Role: NoReg","3","0","19","0","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: it","Country: au / Role: Auth","6","2","7","10","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: it","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: it","Country: au / Role: NoAuth","0","0","2","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: it","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: it","Country: au / Role: NoAuth","7","0","4","4","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: it","Country: au / Role: Auth","1","0","2","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: it","Country: au / Role: NoReg","0","0","0","7","0"
