"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Role: NoAuth","Country: ua / Language: nl","0","0","0","74","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Role: NoReg","Country: ua / Language: nl","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Role: NoReg","Country: ua / Language: nl","0","0","6","1","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Role: Auth","Country: ua / Language: nl","0","0","0","5","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Role: NoReg","Country: ua / Language: nl","0","0","9","1","0"
"US_00 | Main Page","Role: NoReg","Country: ua / Language: nl","0","0","0","74","0"
"US_01.02 | Markets > Menu item [Shares]","Role: NoAuth","Country: ua / Language: nl","6","0","13","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Role: NoReg","Country: ua / Language: nl","0","0","0","6","0"
"US_01.03 | Markets > Menu item [Forex]","Role: NoReg","Country: ua / Language: nl","6","0","17","0","0"
"US_01.04 | Markets > Menu item [Indices]","Role: NoReg","Country: ua / Language: nl","5","0","15","0","0"
"US_01.03 | Markets > Menu item [Forex]","Role: NoAuth","Country: ua / Language: nl","7","0","14","2","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Role: NoReg","Country: ua / Language: nl","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Role: Auth","Country: ua / Language: nl","5","0","1","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Role: NoAuth","Country: ua / Language: nl","0","0","3","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Role: NoAuth","Country: ua / Language: nl","0","0","0","6","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","7","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Role: Auth","Country: ua / Language: nl","4","0","1","0","0"
"US_00 | Main Page","Role: Auth","Country: ua / Language: nl","0","0","0","74","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Role: NoReg","Country: ua / Language: nl","0","0","3","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Role: NoAuth","Country: ua / Language: nl","4","0","4","2","0"
"US_01.05 | Markets > Menu item [Commodities]","Role: NoAuth","Country: ua / Language: nl","7","0","13","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","9","0"
"US_01.01 | Markets > Menu item [All markets]","Role: NoAuth","Country: ua / Language: nl","3","2","11","2","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Role: NoReg","Country: ua / Language: nl","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Role: NoReg","Country: ua / Language: nl","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Role: Auth","Country: ua / Language: nl","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","8","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Role: Auth","Country: ua / Language: nl","5","0","3","2","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Role: NoReg","Country: ua / Language: nl","0","0","0","1","0"
"US_01.03 | Markets > Menu item [Forex]","Role: Auth","Country: ua / Language: nl","17","0","5","1","0"
"US_01.04 | Markets > Menu item [Indices]","Role: NoAuth","Country: ua / Language: nl","4","0","14","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Role: NoReg","Country: ua / Language: nl","0","0","0","3","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Role: Auth","Country: ua / Language: nl","0","0","0","7","0"
"US_01.02 | Markets > Menu item [Shares]","Role: Auth","Country: ua / Language: nl","16","0","4","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","7","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Role: NoAuth","Country: ua / Language: nl","0","0","0","7","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Role: Auth","Country: ua / Language: nl","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Role: Auth","Country: ua / Language: nl","0","0","0","7","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Role: NoReg","Country: ua / Language: nl","0","0","0","6","0"
"US_01.05 | Markets > Menu item [Commodities]","Role: Auth","Country: ua / Language: nl","17","0","4","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Role: NoReg","Country: ua / Language: nl","0","0","1","0","0"
"US_01.02 | Markets > Menu item [Shares]","Role: NoReg","Country: ua / Language: nl","5","0","16","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Role: NoReg","Country: ua / Language: nl","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Role: NoReg","Country: ua / Language: nl","0","0","0","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Role: Auth","Country: ua / Language: nl","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Role: NoReg","Country: ua / Language: nl","6","0","16","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Role: NoReg","Country: ua / Language: nl","0","0","3","3","0"
"US_01.04 | Markets > Menu item [Indices]","Role: Auth","Country: ua / Language: nl","14","0","5","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Role: NoReg","Country: ua / Language: nl","0","0","0","7","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Role: Auth","Country: ua / Language: nl","0","0","0","1","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Role: NoAuth","Country: ua / Language: nl","4","0","2","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Role: NoReg","Country: ua / Language: nl","0","0","0","7","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Role: NoAuth","Country: ua / Language: nl","0","0","0","6","0"
"US_01.01 | Markets > Menu item [All markets]","Role: Auth","Country: ua / Language: nl","7","5","5","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Role: NoReg","Country: ua / Language: nl","0","0","0","8","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Role: Auth","Country: ua / Language: nl","1","0","2","3","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Role: Auth","Country: ua / Language: nl","0","0","0","6","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Role: Auth","Country: ua / Language: nl","0","0","0","9","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Role: NoAuth","Country: ua / Language: nl","0","0","2","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Role: NoAuth","Country: ua / Language: nl","0","0","0","5","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Role: NoAuth","Country: ua / Language: nl","2","0","3","0","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Role: NoReg","Country: ua / Language: nl","0","0","0","5","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Role: NoReg","Country: ua / Language: nl","2","0","3","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Role: Auth","Country: ua / Language: nl","0","0","0","4","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Role: Auth","Country: ua / Language: nl","0","0","0","5","0"
"US_11.00.00 | Learn to trade","Role: Auth","Country: ua / Language: nl","0","0","0","3","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Role: NoReg","Country: ua / Language: nl","3","1","14","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Role: NoAuth","Country: ua / Language: nl","0","0","1","0","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Role: Auth","Country: ua / Language: nl","0","0","0","6","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Role: NoAuth","Country: ua / Language: nl","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Role: Auth","Country: ua / Language: nl","0","0","0","7","0"
