"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Role: NoReg","Country: gb / Language: en","2","0","23","49","0"
"US_00 | Main Page","Role: Auth","Country: gb / Language: en","21","0","4","49","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Role: Auth","Country: gb / Language: en","0","0","0","5","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Role: NoReg","Country: gb / Language: en","0","0","3","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","7","0"
"US_01.03 | Markets > Menu item [Forex]","Role: Auth","Country: gb / Language: en","0","0","0","12","0"
"US_01.03 | Markets > Menu item [Forex]","Role: NoAuth","Country: gb / Language: en","0","0","0","12","0"
"US_00 | Main Page","Role: NoAuth","Country: gb / Language: en","23","2","0","49","0"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Role: NoReg","Country: gb / Language: en","0","0","0","5","0"
"US_01.05 | Markets > Menu item [Commodities]","Role: NoReg","Country: gb / Language: en","0","0","0","12","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Role: Auth","Country: gb / Language: en","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Role: Auth","Country: gb / Language: en","2","0","3","0","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Role: NoReg","Country: gb / Language: en","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Role: NoReg","Country: gb / Language: en","0","0","0","8","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","9","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Role: NoReg","Country: gb / Language: en","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Role: Auth","Country: gb / Language: en","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Role: Auth","Country: gb / Language: en","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Role: Auth","Country: gb / Language: en","0","0","0","7","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Role: Auth","Country: gb / Language: en","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Role: Auth","Country: gb / Language: en","0","0","0","5","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","7","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Role: NoReg","Country: gb / Language: en","0","0","0","7","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Role: NoReg","Country: gb / Language: en","0","0","1","0","0"
"US_01.05 | Markets > Menu item [Commodities]","Role: NoAuth","Country: gb / Language: en","0","0","0","12","0"
"US_01.02 | Markets > Menu item [Shares]","Role: NoReg","Country: gb / Language: en","0","0","0","11","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Role: Auth","Country: gb / Language: en","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Role: NoAuth","Country: gb / Language: en","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Role: Auth","Country: gb / Language: en","0","0","0","8","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Role: Auth","Country: gb / Language: en","0","0","0","9","0"
