"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.00.00 | Learn to trade","Language: nl","Country: au / Role: NoAuth","0","0","0","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: nl","Country: de / Role: NoAuth","3","5","12","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: nl","Country: ae / Role: Auth","0","0","0","4","0"
"US_00 | Main Page","Language: nl","Country: au / Role: NoAuth","0","0","0","44","0"
"US_01.03 | Markets > Menu item [Forex]","Language: nl","Country: ae / Role: NoAuth","2","7","5","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: nl","Country: au / Role: NoReg","0","0","0","7","0"
"US_00 | Main Page","Language: nl","Country: ae / Role: NoAuth","0","0","0","44","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: nl","Country: au / Role: NoReg","0","0","0","9","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: nl","Country: de / Role: Auth","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: nl","Country: de / Role: NoReg","2","6","12","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: de / Role: Auth","2","3","8","2","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: nl","Country: de / Role: NoReg","0","0","0","6","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: nl","Country: de / Role: NoReg","0","0","0","7","0"
"US_01.03 | Markets > Menu item [Forex]","Language: nl","Country: au / Role: NoAuth","1","7","6","1","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: nl","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: nl","Country: de / Role: Auth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: au / Role: NoReg","0","0","12","3","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: nl","Country: de / Role: Auth","0","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: nl","Country: de / Role: NoReg","0","0","4","5","0"
"US_00 | Main Page","Language: nl","Country: de / Role: NoAuth","0","0","0","44","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: nl","Country: ae / Role: NoReg","0","0","0","8","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: nl","Country: au / Role: Auth","0","0","0","7","0"
"US_00 | Main Page","Language: nl","Country: de / Role: NoReg","0","0","0","44","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: nl","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: nl","Country: de / Role: Auth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: nl","Country: de / Role: Auth","0","0","0","9","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: nl","Country: au / Role: NoAuth","0","0","0","5","0"
"US_00 | Main Page","Language: nl","Country: de / Role: Auth","0","0","0","44","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: nl","Country: au / Role: Auth","0","0","0","7","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: nl","Country: au / Role: Auth","2","12","6","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: de / Role: NoReg","0","0","12","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: nl","Country: de / Role: NoReg","2","0","8","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: au / Role: NoAuth","6","0","6","3","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: nl","Country: ae / Role: Auth","0","0","0","8","0"
"US_01.02 | Markets > Menu item [Shares]","Language: nl","Country: de / Role: Auth","8","1","1","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: nl","Country: ae / Role: NoAuth","4","0","2","1","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: nl","Country: au / Role: NoReg","0","0","0","8","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: nl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: nl","Country: de / Role: NoReg","0","0","0","7","0"
"US_01.04 | Markets > Menu item [Indices]","Language: nl","Country: ae / Role: Auth","8","1","1","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: nl","Country: de / Role: Auth","1","0","4","4","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: nl","Country: au / Role: NoAuth","0","0","0","6","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: nl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: nl","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: nl","Country: ae / Role: NoReg","0","0","3","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: nl","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: nl","Country: au / Role: Auth","3","1","2","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: nl","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: nl","Country: ae / Role: NoAuth","0","0","4","5","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: nl","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: nl","Country: ae / Role: NoReg","0","0","5","0","0"
"US_00 | Main Page","Language: nl","Country: ae / Role: NoReg","0","0","0","44","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: au / Role: Auth","1","3","8","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: nl","Country: ae / Role: Auth","1","3","8","3","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: nl","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: nl","Country: au / Role: NoReg","0","0","0","7","0"
"US_00 | Main Page","Language: nl","Country: au / Role: NoReg","0","0","0","44","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: nl","Country: de / Role: NoAuth","0","0","4","5","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: nl","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: nl","Country: de / Role: Auth","0","0","0","8","0"
"US_01.03 | Markets > Menu item [Forex]","Language: nl","Country: de / Role: NoReg","2","6","6","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: nl","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: nl","Country: de / Role: NoAuth","0","0","0","9","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: nl","Country: au / Role: NoAuth","1","10","8","2","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: nl","Country: ae / Role: NoReg","0","0","0","1","0"
