"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.03 | Markets > Menu item [Forex]","Language: cn","Country: au / Role: NoAuth","2","4","8","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: cn","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: cn","Country: ae / Role: NoAuth","2","0","2","3","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: cn","Country: de / Role: Auth","8","6","7","0","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: cn","Country: ae / Role: Auth","10","6","4","1","0"
"US_00 | Main Page","Language: cn","Country: ae / Role: NoReg","0","1","0","43","0"
"US_00 | Main Page","Language: cn","Country: ae / Role: Auth","0","0","0","44","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: cn","Country: de / Role: NoAuth","2","0","2","3","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: cn","Country: au / Role: NoAuth","0","2","2","5","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: cn","Country: au / Role: Auth","1","0","3","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: cn","Country: au / Role: NoAuth","0","0","0","9","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: cn","Country: ae / Role: NoAuth","0","2","2","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: cn","Country: ae / Role: NoAuth","2","0","2","3","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: cn","Country: au / Role: Auth","0","0","4","1","0"
"US_00 | Main Page","Language: cn","Country: au / Role: Auth","0","0","0","44","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: cn","Country: au / Role: NoAuth","3","2","14","2","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: cn","Country: de / Role: NoReg","0","2","2","5","0"
"US_00 | Main Page","Language: cn","Country: de / Role: NoAuth","1","0","0","43","0"
"US_00 | Main Page","Language: cn","Country: ae / Role: NoAuth","0","1","0","43","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: cn","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: cn","Country: au / Role: NoReg","0","0","4","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: cn","Country: de / Role: NoAuth","0","0","0","9","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: cn","Country: de / Role: NoAuth","2","0","2","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: cn","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: cn","Country: ae / Role: Auth","0","0","0","9","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: cn","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: cn","Country: de / Role: Auth","0","0","4","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: cn","Country: au / Role: NoAuth","0","0","0","7","0"
"US_00 | Main Page","Language: cn","Country: de / Role: NoReg","0","1","0","43","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: cn","Country: de / Role: NoAuth","0","0","0","7","0"
"US_00 | Main Page","Language: cn","Country: de / Role: Auth","0","0","1","43","0"
